lang,text,time
es,Buenos días,morning
es,¡Buenos días!,morning
es,Buen día,morning
es,Buenos días ☀,morning
es,Buenos días ☕,morning
es,Buen día ☀,morning
es,¡Arriba!,morning
es,¡A levantarse!,morning
es,¡Despierta!,morning
es,¡A por el día!,morning
es,Buenos días amigo,morning
es,Buenos días amiga,morning
es,Buenos días cariño,morning
es,Buenos días mi amor,morning
es,Buenos días a todos,morning
es,Feliz mañana,morning
es,Que tengas buen día,morning
es,Buen comienzo de día,morning
es,Buenos días dormilón,morning
es,Buenos días dormilona,morning
es,Buenas,morning|afternoon|evening
es,Muy buenas,morning|afternoon|evening
es,Buenas tardes,afternoon
es,¡Buenas tardes!,afternoon
es,Buenas tardes amigo,afternoon
es,Buenas tardes a todos,afternoon
es,Feliz tarde,afternoon
es,Que tengas buena tarde,afternoon
es,Buenas tardes señor,afternoon
es,Buenas tardes señora,afternoon
es,Buenas noches,evening|night
es,¡Buenas noches!,evening|night
es,Buenas noches 🌙,evening|night
es,Buenas noches a todos,evening|night
es,Buenas noches mi amor,evening|night
es,Dulces sueños,night
es,Que descanses,night
es,Que duermas bien,night
es,Felices sueños,night
es,Hasta mañana,night
es,Nos vemos mañana,night
es,Hola,any
es,¡Hola!,any
es,¡Holi!,any
es,¡Holis!,any
es,¡Holaaa!,any
es,¡Holita!,any
es,Hola amigo,any
es,Hola amiga,any
es,Hola amigos,any
es,Hola amigas,any
es,Hola chico,any
es,Hola chica,any
es,Hola chicos,any
es,Hola chicas,any
es,Hola cariño,any
es,Hola corazón,any
es,Hola mi amor,any
es,Hola guapo,any
es,Hola guapa,any
es,Hola hermoso,any
es,Hola hermosa,any
es,Hola gente,any
es,Hola familia,any
es,Hola equipo,any
es,¡Hola! 👋,any
es,¡Hola! ✨,any
es,Hola de nuevo,any
es,Hola tío,any
es,Hola tía,any
es,Hola colega,any
es,Hola crack,any
es,Hola majo,any
es,Hola maja,any
es,¿Qué tal?,any
es,¿Qué pasa?,any
es,¿Qué pasa tío?,any
es,¿Qué pasa colega?,any
es,¿Qué rollo?,any
es,¿Qué hay?,any
es,¿Qué hay de nuevo?,any
es,¿Qué pasó?,any
es,¿Qué cuentas?,any
es,¿Qué me cuentas?,any
es,¿Qué se cuenta?,any
es,¿Qué dices?,any
es,¿Qué te traes?,any
es,¿Todo bien?,any
es,¿Todo guay?,any
es,¿Todo en orden?,any
es,¿Todo tranqui?,any
es,¿Todo marcha?,any
es,¿Qué onda?,any
es,¿Qué onda wey?,any
es,¿Qué onda banda?,any
es,¿Qué hubo?,any
es,¿Quihúbole?,any
es,¿Qué tranza?,any
es,¿Qué pex?,any
es,¿Qué pedo?,any
es,¿Todo chido?,any
es,¿Todo padre?,any
es,¿Qué más?,any
es,¿Qué más pues?,any
es,¿Bien o no?,any
es,¿Qué hubo parce?,any
es,¿Cómo andás?,any
es,¿Qué hacés?,any
es,¿Qué hacés che?,any
es,Che boludo,any
es,¿Todo piola?,any
es,¿Cómo va eso?,any
es,¿Cómo estai?,any
es,¿Cómo estai po?,any
es,¡Hola po!,any
es,¿Cachai?,any
es,¡Wepa!,any
es,¡Ey!,any
es,¡Epa!,any
es,¡Hey!,any
es,¡Ajá!,any
es,¿Cómo estás?,any
es,¿Cómo estás tú?,any
es,¿Cómo andas?,any
es,¿Cómo te va?,any
es,¿Cómo te ha ido?,any
es,¿Cómo has estado?,any
es,¿Cómo va la vida?,any
es,¿Cómo va todo?,any
es,¿Cómo va tu día?,any
es,¿Qué tal tu día?,any
es,¿Qué tal todo?,any
es,¿Qué tal estás?,any
es,¿Cómo te encuentras?,any
es,¿Cómo está la familia?,any
es,¿Cómo está usted?,any
es,¿Cómo se encuentra?,any
es,¿Cómo le va?,any
es,¿Cómo están ustedes?,any
es,Espero que estés bien,any
es,Espero que todo vaya bien,any
es,Espero que tengas buen día,any
es,Saludos,any
es,Saludos cordiales,any
es,Un saludo,any
es,Reciba un saludo,any
es,Mucho gusto,any
es,El gusto es mío,any
es,Un placer,any
es,Un placer conocerte,any
es,Encantado,any
es,Encantada,any
es,Encantado de conocerte,any
es,Bienvenido,any
es,Bienvenida,any
es,Bienvenidos,any
es,Bienvenidas,any
es,Bienvenido de vuelta,any
es,Bienvenida de vuelta,any
es,Bienvenido a casa,any
es,Bienvenida a casa,any
es,Bienvenido otra vez,any
es,Qué bueno tenerte aquí,any
es,Pasa adelante,any
es,¡Cuánto tiempo!,any
es,¡Cuánto tiempo sin verte!,any
es,Hace tiempo que no nos vemos,any
es,Tanto tiempo,any
es,¡Dichosos los ojos!,any
es,Qué milagro,any
es,¡Mira quién apareció!,any
es,Qué alegría verte,any
es,Qué gusto verte,any
es,Me alegro de verte,any
es,Es un placer verte,any
es,Te extrañé,any
es,Cuánto me alegro,any
es,¡Hola a todos!,any
es,¡Hola a todas!,any
es,¡Hola gente!,any
es,¡Hola chicos!,any
es,¡Hola banda!,any
es,Saludos a todos,any
es,Buen finde,any
es,Feliz lunes,any
es,Feliz viernes,any
es,Feliz finde,any
es,Feliz semana,any
es,Feliz día,any
es,Feliz domingo,any
es,Qué tengas un buen día,any
es,Qué tengas linda mañana,morning
es,Qué tengas linda tarde,afternoon
es,Qué tengas linda noche,evening|night
es,Buen provecho,afternoon|evening
es,A comer,afternoon|evening
es,Hora del café ☕,morning|afternoon
es,Hora de la siesta,afternoon
es,Buenos días sol ☀,morning
es,Buenas lunas 🌙,night
