rank,eng,deu,fra,ita,nld,por,spa
27,new,neu,nouveau,nuovo,nieuw,novo,nuevo
33,home,Zuhause,maison,casa,thuis,casa,hogar
41,search,suchen,chercher,cercare,zoeken,procurar,buscar
42,free,frei,libre,libero,vrij,livre,libre
49,information,Information,information,informazione,informatie,informação,información
50,time,Zeit,temps,tempo,tijd,tempo,tiempo
59,news,Nachricht,nouvelle,notizia,nieuws,notícia,noticia
64,see,sehen,voir,vedere,zien,ver,ver
69,contact,Kontakt,contact,contatto,contact,contacto,contacto
71,business,Geschäft,entreprise,impresa,bedrijf,empresa,empresa
76,help,helfen,aider,aiutare,helpen,ajudar,ayudar
79,view,Aussicht,vue,vista,uitzicht,vista,vista
97,service,Dienst,service,servizio,dienst,serviço,servicio
100,find,finden,trouver,trovare,vinden,encontrar,encontrar
101,price,Preis,prix,prezzo,prijs,preço,precio
102,date,Datum,date,data,datum,data,fecha
105,people,Leute,gens,gente,mensen,pessoas,gente
107,list,Liste,liste,lista,lijst,lista,lista
108,name,Name,nom,nome,naam,nome,nombre
112,year,Jahr,année,anno,jaar,ano,año
113,day,Tag,jour,giorno,dag,dia,día
115,email,E-Mail,email,email,e-mail,email,correo
117,health,Gesundheit,santé,salute,gezondheid,saúde,salud
119,world,Welt,monde,mondo,wereld,mundo,mundo
121,next,nächste,prochain,prossimo,volgende,próximo,próximo
125,work,arbeiten,travailler,lavorare,werken,trabalhar,trabajar
126,last,letzte,dernier,ultimo,laatste,último,último
129,music,Musik,musique,musica,muziek,música,música
130,buy,kaufen,acheter,comprare,kopen,comprar,comprar
135,product,Produkt,produit,prodotto,product,produto,producto
139,city,Stadt,ville,città,stad,cidade,ciudad
141,add,hinzufügen,ajouter,aggiungere,toevoegen,adicionar,añadir
143,number,Nummer,numéro,numero,nummer,número,número
146,available,verfügbar,disponible,disponibile,beschikbaar,disponível,disponible
148,support,Unterstützung,soutien,supporto,steun,apoio,apoyo
149,message,Nachricht,message,messaggio,bericht,mensagem,mensaje
151,best,beste,meilleur,migliore,beste,melhor,mejor
152,software,Software,logiciel,software,software,software,software
155,good,gut,bon,buono,goed,bom,bueno
156,video,Video,vidéo,video,video,vídeo,vídeo
162,public,öffentlich,public,pubblico,openbaar,público,público
164,high,hoch,haut,alto,hoog,alto,alto
165,school,Schule,école,scuola,school,escola,escuela
171,review,Rezension,critique,recensione,recensie,crítica,reseña
173,order,Bestellung,commande,ordine,bestelling,encomenda,pedido
176,book,Buch,livre,libro,boek,livro,libro
178,company,Firma,entreprise,azienda,bedrijf,empresa,empresa
180,read,lesen,lire,leggere,lezen,ler,leer
181,group,Gruppe,groupe,gruppo,groep,grupo,grupo
182,sex,Geschlecht,sexe,sesso,geslacht,sexo,sexo
185,user,Benutzer,utilisateur,utente,gebruiker,utilizador,usuario
192,research,Forschung,recherche,ricerca,onderzoek,pesquisa,investigación
193,university,Universität,université,università,universiteit,universidade,universidad
196,full,voll,plein,pieno,vol,cheio,lleno
197,map,Karte,carte,mappa,kaart,mapa,mapa
199,program,Programm,programme,programma,programma,programa,programa
200,life,Leben,vie,vita,leven,vida,vida
205,management,Management,gestion,gestione,beheer,gestão,gestión
211,hotel,Hotel,hôtel,albergo,hotel,hotel,hotel
216,center,Zentrum,centre,centro,centrum,centro,centro
220,travel,reisen,voyager,viaggiare,reizen,viajar,viajar
223,development,Entwicklung,développement,sviluppo,ontwikkeling,desenvolvimento,desarrollo
224,report,Bericht,rapport,rapporto,verslag,relatório,informe
226,member,Mitglied,membre,membro,lid,membro,miembro
233,send,senden,envoyer,inviare,sturen,enviar,enviar
241,office,Büro,bureau,ufficio,kantoor,escritório,oficina
242,education,Bildung,éducation,istruzione,onderwijs,educação,educación
244,car,Auto,voiture,auto,auto,carro,coche
248,internet,Internet,internet,internet,internet,internet,internet
250,community,Gemeinschaft,communauté,comunità,gemeenschap,comunidade,comunidad
253,area,Gebiet,zone,zona,gebied,zona,zona
254,want,wollen,vouloir,volere,willen,querer,querer
255,phone,Telefon,téléphone,telefono,telefoon,telefone,teléfono
261,forum,Forum,forum,forum,forum,fórum,foro
262,family,Familie,famille,famiglia,familie,família,familia
271,black,schwarz,noir,nero,zwart,preto,negro
273,special,speziell,spécial,speciale,speciaal,especial,especial
275,website,Webseite,site,sito,website,site,web
284,today,heute,aujourd'hui,oggi,vandaag,hoje,hoy
285,technology,Technologie,technologie,tecnologia,technologie,tecnologia,tecnología
286,south,Süden,sud,sud,zuiden,sul,sur
288,project,Projekt,projet,progetto,project,projeto,proyecto
292,version,Version,version,versione,versie,versão,versión
293,section,Abschnitt,section,sezione,sectie,secção,sección
299,security,Sicherheit,sécurité,sicurezza,veiligheid,segurança,seguridad
304,photo,Foto,photo,foto,foto,foto,foto
305,game,Spiel,jeu,gioco,spel,jogo,juego
310,network,Netzwerk,réseau,rete,netwerk,rede,red
312,computer,Computer,ordinateur,computer,computer,computador,ordenador
316,place,Ort,lieu,luogo,plaats,lugar,lugar
319,download,herunterladen,télécharger,scaricare,downloaden,descarregar,descargar
325,think,denken,penser,pensare,denken,pensar,pensar
326,north,Norden,nord,nord,noorden,norte,norte
330,big,groß,grand,grande,groot,grande,grande
332,law,Gesetz,loi,legge,wet,lei,ley
334,water,Wasser,eau,acqua,water,água,agua
335,history,Geschichte,histoire,storia,geschiedenis,história,historia
337,size,Größe,taille,dimensione,grootte,tamanho,tamaño
338,art,Kunst,art,arte,kunst,arte,arte
342,guide,Leitfaden,guide,guida,gids,guia,guía
346,location,Ort,lieu,luogo,locatie,local,lugar
349,text,Text,texte,testo,tekst,texto,texto
350,small,klein,petit,piccolo,klein,pequeno,pequeño
353,government,Regierung,gouvernement,governo,regering,governo,gobierno
354,child,Kind,enfant,bambino,kind,criança,niño
358,student,Student,étudiant,studente,student,estudante,estudiante
361,account,Konto,compte,conto,rekening,conta,cuenta
364,level,Ebene,niveau,livello,niveau,nível,nivel
366,profile,Profil,profil,profilo,profiel,perfil,perfil
367,previous,vorherig,précédent,precedente,vorig,anterior,anterior
369,event,Ereignis,événement,evento,gebeurtenis,evento,evento
370,love,Liebe,amour,amore,liefde,amor,amor
371,old,alt,vieux,vecchio,oud,velho,viejo
375,hour,Stunde,heure,ora,uur,hora,hora
376,image,Bild,image,immagine,beeld,imagem,imagen
377,department,Abteilung,département,dipartimento,afdeling,departamento,departamento
378,title,Titel,titre,titolo,titel,título,título
379,description,Beschreibung,description,descrizione,beschrijving,descrição,descripción
383,insurance,Versicherung,assurance,assicurazione,verzekering,seguro,seguro
